Pattern,Size,supportT,supportN,GrowthRatio
"frozenset({'TOP2A_H', 'DEPDC1_H'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF4A_EH', 'CENPF_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF4A_EH', 'CDC6_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'KIF4A_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'EXO1_EH', 'KIF4A_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF4A_EH', 'TPX2_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF4A_EH', 'KIF20A_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF4A_EH', 'DEPDC1_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF4A_EH', 'AURKA_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'ERCC6L_EH', 'CENPF_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'CENPF_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'ASPM_EH', 'CENPF_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF14_EH', 'CENPF_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'EXO1_EH', 'CENPF_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'CENPF_EH', 'TPX2_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'CENPF_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF20A_EH', 'CENPF_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DEPDC1_EH', 'CENPF_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'AURKA_EH', 'CENPF_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'CCNB1_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'BUB1B_EH', 'CCNB1_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'CCNB1_EH', 'DEPDC1_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'ERCC6L_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'EXO1_EH', 'ERCC6L_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'ERCC6L_EH', 'TPX2_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'ERCC6L_EH', 'KIF20A_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DEPDC1B_EH', 'CDC6_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'ASPM_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'KIF14_EH'})",2,0.3684210526315789,0.0,inf
