"","items","support","count"
"172","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,ALPI.248=L}",1,66
"173","{EVI5L.115704=EH,LOC100131551.100131551=EL,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"174","{EVI5L.115704=EH,PLEKHJ1.55111=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"175","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,SLC2A2.6514=EL}",1,66
"176","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,CUBN.8029=EL,SLC39A5.283375=EL}",1,66
"177","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,CYP21A2.1589=EL}",1,66
"178","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,UGT1A3.54659=L}",1,66
"179","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,ABCC3.8714=EL,SLC39A5.283375=EL}",1,66
"180","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,C1orf186.440712=EL,SLC39A5.283375=EL}",1,66
"181","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,ALPK2.115701=EL,SLC39A5.283375=EL}",1,66
"182","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,SLC39A5.283375=EL,NGEF.25791=EL}",1,66
"183","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,SLC39A5.283375=EL,CFB.629=EL}",1,66
"184","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,SLC39A5.283375=EL,HAVCR1.26762=EL}",1,66
"185","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,UNC5CL.222643=EL,SLC39A5.283375=EL}",1,66
"186","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,MTMR11.10903=EL,SLC39A5.283375=EL}",1,66
"187","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,SLC39A5.283375=EL,HNF4A.3172=EL}",1,66
"188","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,SLC39A5.283375=EL,REG3G.130120=L}",1,66
"189","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,FIGNL2.401720=EL,SLC39A5.283375=EL}",1,66
"190","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,SLC39A5.283375=EL,NRXN2.9379=EL}",1,66
"191","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,SLC39A5.283375=EL,HHLA2.11148=EL}",1,66
"192","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,SLC39A5.283375=EL,NXNL2.158046=EL}",1,66
"193","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,SLC39A5.283375=EL,ADAM18.8749=M}",1,66
"194","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,SLC39A5.283375=EL,ENKUR.219670=EL}",1,66
